t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,-0.09910765,-4.185785,-4.614495,0.12332987,0.13464609,936.30,0.6886,Double Spike,30.0
1,-0.10291708,-4.284360,-4.646611,0.11739864,0.16119945,912.38,0.6139,Double Spike,30.0
2,0.04661882,-4.390266,-4.739123,0.11134373,0.17032024,902.90,1.2703,Double Spike,30.0
3,0.11024450,-4.449182,-4.677983,0.10811163,0.19219965,883.99,0.4776,Double Spike,30.0
4,0.11520672,-4.361774,-4.648348,0.11294131,0.20246226,881.63,0.4273,Double Spike,30.0
5,-0.18446358,-4.060138,-4.421804,0.13132645,0.20329067,776.59,-0.4083,Double Spike,30.0
6,-0.11872968,-4.146205,-4.434618,0.12579487,0.20864645,899.39,0.4540,Double Spike,30.0
7,-0.13349505,-4.585872,-4.358854,0.10096960,0.25554624,871.62,0.2644,Double Spike,30.0
8,-0.10015620,-4.440176,-4.372767,0.10859955,0.23597787,911.86,0.6552,Double Spike,30.0
9,-0.03007303,-4.703445,-4.527495,0.09520501,0.23651910,852.32,1.3534,Double Spike,30.0
10,-0.11578012,-4.625818,-4.521443,0.09897291,0.23918870,897.22,0.4624,Double Spike,30.0
11,0.11226017,-4.709608,-4.464598,0.09491213,0.24868694,898.04,0.5029,Double Spike,30.0
12,-0.17706119,-4.643691,-4.336933,0.09809241,0.25602734,807.01,-0.2557,Double Spike,30.0
13,-0.05428817,-4.743409,-4.447245,0.09332152,0.24547875,908.08,1.1346,Double Spike,30.0
14,-0.00781613,-4.953786,-4.575383,0.08400383,0.25700492,598.83,1.6158,Double Spike,30.0
15,0.13472305,-5.044333,-4.507583,0.08028550,0.25151119,861.35,0.2034,Double Spike,30.0
16,-0.04024524,-5.018061,-4.630313,0.08134706,0.22175157,886.98,1.2984,Double Spike,30.0
17,-0.07614046,-5.207438,-4.666950,0.07399788,0.20248102,901.75,0.9147,Double Spike,30.0
18,-0.03769454,-5.241184,-4.794923,0.07275978,0.20925833,877.58,1.3798,Double Spike,30.0
19,-0.04417018,-5.114034,-4.902462,0.07753570,0.20897639,885.81,1.3306,Double Spike,30.0
20,0.09237669,-4.970092,-4.932131,0.08332173,0.19175652,891.28,0.6749,Double Spike,30.0
21,0.02362125,-4.946140,-5.079549,0.08432559,0.19293749,859.13,1.6309,Double Spike,30.0
22,0.10735090,-5.037469,-4.956971,0.08056147,0.19164655,848.95,0.4046,Double Spike,30.0
23,0.14613740,-4.924484,-4.768758,0.08524361,0.20556471,790.10,-0.1018,Double Spike,30.0
24,0.04688729,-4.749596,-4.800411,0.09303330,0.21273097,895.63,1.2791,Double Spike,30.0
25,-0.02449859,-4.741557,-4.923380,0.09340800,0.20186545,843.05,1.5576,Double Spike,30.0
26,0.00800010,-4.787148,-5.058210,0.09130278,0.18824962,656.89,1.8450,Double Spike,30.0
27,0.14147821,-4.822298,-4.818140,0.08971215,0.18925445,774.75,-0.0811,Double Spike,30.0
28,-0.09259343,-4.875483,-4.788744,0.08735795,0.19915554,879.72,0.6815,Double Spike,30.0
29,-0.17947210,-5.027250,-4.542855,0.08097418,0.20530379,728.91,-0.4380,Double Spike,30.0
30,-0.01198751,-5.039840,-4.677140,0.08046603,0.22471374,721.96,1.5905,Double Spike,30.0
31,0.06115792,-4.925906,-4.752097,0.08518305,0.22190420,898.16,1.0954,Double Spike,30.0
32,0.06223828,-5.091450,-4.779705,0.07841619,0.21319425,896.37,1.0778,Double Spike,30.0
33,0.04438683,-5.218289,-4.850646,0.07359747,0.19498533,882.99,1.3052,Double Spike,30.0
34,-0.01388375,-5.370764,-4.998320,0.06819515,0.19398318,776.76,1.7186,Double Spike,30.0
35,0.05020953,-5.392570,-5.066461,0.06745566,0.21850291,898.51,1.2942,Double Spike,30.0
36,-0.14834781,-5.501503,-4.836336,0.06387983,0.22613296,748.64,-0.2141,Double Spike,30.0
37,0.04388966,-5.369536,-4.880618,0.06823703,0.19876048,905.54,1.3622,Double Spike,30.0
38,-0.08879923,-5.138257,-4.867240,0.07660230,0.16446304,904.79,0.7464,Double Spike,30.0
39,0.07546319,-4.943753,-4.914607,0.08442629,0.16623038,919.43,0.9485,Double Spike,30.0
40,0.12073909,-4.810393,-4.846216,0.09024777,0.15999490,856.45,0.2777,Double Spike,30.0
41,-0.16508897,-4.947026,-4.633773,0.08428822,0.19574991,791.45,-0.2223,Double Spike,30.0
42,-0.09048434,-4.826211,-4.572760,0.08953679,0.19538139,908.40,0.7558,Double Spike,30.0
43,-0.02954973,-5.006082,-4.668271,0.08183578,0.20493688,861.66,1.4090,Double Spike,30.0
44,-0.12118733,-5.069171,-4.605497,0.07929458,0.19991884,873.81,0.3567,Double Spike,30.0
45,0.00493986,-5.027517,-4.704788,0.08096335,0.20024513,514.75,1.7223,Double Spike,30.0
46,-0.05280783,-4.850138,-4.786994,0.08847201,0.19817813,896.92,1.2119,Double Spike,30.0
47,0.04868679,-4.766919,-4.809905,0.09223097,0.19929093,897.07,1.2724,Double Spike,30.0
48,-0.02176385,-4.911061,-4.919321,0.08581766,0.19508067,836.23,1.6098,Double Spike,30.0
49,0.01650100,-5.047990,-5.062255,0.08013882,0.19626778,806.25,1.7308,Double Spike,30.0
50,-0.33489919,-3.000000,-3.591590,0.22313017,0.33441085,678.79,-1.1151,Double Spike,30.0
51,-0.04404858,-3.290546,-3.614321,0.19295989,0.33098662,834.89,0.8907,Double Spike,30.0
52,-0.18012857,-3.432678,-3.543470,0.17972293,0.32187179,874.86,0.0110,Double Spike,30.0
53,-0.10850611,-3.661859,-3.649965,0.16026457,0.29124206,898.32,0.5157,Double Spike,30.0
54,0.12321430,-3.822534,-3.762370,0.14789286,0.28093627,914.93,0.4579,Double Spike,30.0
55,-0.12497746,-3.717246,-3.809332,0.15588716,0.28047514,913.67,0.4450,Double Spike,30.0
56,-0.10167635,-3.956485,-3.916724,0.13831209,0.27685767,919.74,0.6394,Double Spike,30.0
57,0.00601615,-3.935590,-4.059525,0.13976468,0.25974485,474.68,1.4000,Double Spike,30.0
