t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,0.02604190,-4.613964,-4.812597,0.09956130,0.12855890,865.94,1.4854,Gradual Build,10.0
1,-0.05279415,-4.670694,-4.987272,0.09677688,0.12525854,908.90,1.2361,Gradual Build,10.0
2,0.04018157,-4.546346,-5.141113,0.10298488,0.15274355,906.86,1.4432,Gradual Build,10.0
3,0.13479710,-4.575062,-4.937597,0.10151678,0.17662883,796.87,-0.0074,Gradual Build,10.0
4,-0.08957040,-4.599176,-4.921716,0.10030016,0.18286103,892.82,0.7297,Gradual Build,10.0
5,0.00985326,-4.605614,-5.012145,0.09997783,0.19222313,732.50,1.7464,Gradual Build,10.0
6,-0.04697738,-4.660737,-5.080789,0.09725992,0.16604140,901.02,1.3386,Gradual Build,10.0
7,0.05716880,-4.746945,-5.156991,0.09315668,0.15266556,898.52,1.1932,Gradual Build,10.0
8,-0.00981256,-4.443438,-5.263132,0.10842259,0.16683793,748.67,1.8680,Gradual Build,10.0
9,0.01195866,-4.564391,-5.384561,0.10205991,0.16087571,785.98,1.9112,Gradual Build,10.0
10,-0.01130378,-4.622630,-5.506133,0.09913082,0.15583721,779.95,1.9858,Gradual Build,10.0
11,-0.14293094,-4.796311,-5.115821,0.09088542,0.17172703,689.16,-0.3187,Gradual Build,10.0
12,-0.11190570,-4.979740,-4.971007,0.08292076,0.18744597,843.16,0.3490,Gradual Build,10.0
13,0.00400597,-4.704823,-5.057008,0.09513946,0.18094945,510.64,1.8875,Gradual Build,10.0
14,0.26724172,-4.666202,-4.208485,0.09699452,0.23663084,625.31,-1.0840,Gradual Build,10.0
15,-0.10338074,-4.503857,-4.229446,0.10519615,0.21963789,904.04,0.6151,Gradual Build,10.0
16,0.06880877,-4.426855,-4.278635,0.10932531,0.19786374,921.22,0.9553,Gradual Build,10.0
17,-0.08162511,-4.460355,-4.345549,0.10750936,0.19879314,908.51,0.8260,Gradual Build,10.0
18,0.08862256,-4.417829,-4.444937,0.10981981,0.22016342,908.46,0.7794,Gradual Build,10.0
19,-0.00842577,-4.290221,-4.574613,0.11705512,0.21067141,622.20,1.5827,Gradual Build,10.0
20,0.10490996,-4.365100,-4.590826,0.11275364,0.24449728,889.53,0.5693,Gradual Build,10.0
21,0.11226392,-4.532895,-4.570017,0.10367984,0.24854280,878.30,0.4737,Gradual Build,10.0
22,0.00090720,-4.417330,-4.738843,0.10984721,0.24474114,185.58,1.9381,Gradual Build,10.0
23,-0.05851826,-4.278471,-4.805276,0.11774480,0.23881304,894.08,1.1343,Gradual Build,10.0
24,0.07363666,-4.229953,-4.862970,0.12063614,0.20959143,894.71,0.9393,Gradual Build,10.0
25,0.23798746,-4.239853,-4.320795,0.12004045,0.24529633,645.78,-0.9965,Gradual Build,10.0
26,-0.04178239,-4.284508,-4.353659,0.11738993,0.25422376,884.54,1.2008,Gradual Build,10.0
27,0.00765827,-4.296447,-4.477482,0.11669126,0.25018740,569.52,1.5906,Gradual Build,10.0
28,0.05242150,-4.325396,-4.596132,0.11501442,0.24342686,885.65,1.1679,Gradual Build,10.0
29,-0.23108031,-4.601646,-4.275103,0.10017636,0.21383429,667.04,-0.8766,Gradual Build,10.0
30,0.06254742,-4.529793,-4.375495,0.10384077,0.21558908,899.14,1.0109,Gradual Build,10.0
31,-0.03834680,-4.670906,-4.506595,0.09676664,0.21028966,880.28,1.2643,Gradual Build,10.0
32,-0.00363399,-5.021499,-4.677311,0.08120736,0.21166933,502.00,1.7139,Gradual Build,10.0
33,0.01363869,-5.135950,-4.841070,0.07669068,0.21987389,730.15,1.6600,Gradual Build,10.0
34,-0.14466546,-5.139891,-4.673913,0.07653971,0.21173891,813.02,-0.0101,Gradual Build,10.0
35,0.01373284,-4.980750,-4.801694,0.08287888,0.21846968,779.41,1.6041,Gradual Build,10.0
36,0.10918595,-4.869918,-4.717863,0.08760134,0.19588140,872.78,0.4588,Gradual Build,10.0
37,0.18329908,-4.792542,-4.507275,0.09105690,0.18898544,746.54,-0.4511,Gradual Build,10.0
38,0.03434294,-4.779099,-4.623808,0.09167098,0.17068647,888.83,1.3656,Gradual Build,10.0
