t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,0.02604190,-4.613964,-4.812597,0.09956130,0.12855890,865.94,1.4854,Gradual Build,5.0
1,-0.05279415,-4.670694,-4.987272,0.09677688,0.12525854,908.90,1.2361,Gradual Build,5.0
2,0.04018157,-4.546346,-5.141113,0.10298488,0.15274355,906.86,1.4432,Gradual Build,5.0
3,0.13479710,-4.575062,-4.937597,0.10151678,0.17662883,796.87,-0.0074,Gradual Build,5.0
4,-0.08957040,-4.599176,-4.921716,0.10030016,0.18286103,892.82,0.7297,Gradual Build,5.0
5,0.00985326,-4.605614,-5.012145,0.09997783,0.19222313,732.50,1.7464,Gradual Build,5.0
6,-0.04697738,-4.660737,-5.080789,0.09725992,0.16604140,901.02,1.3386,Gradual Build,5.0
7,0.05716880,-4.746945,-5.156991,0.09315668,0.15266556,898.52,1.1932,Gradual Build,5.0
8,-0.00981256,-4.443438,-5.263132,0.10842259,0.16683793,748.67,1.8680,Gradual Build,5.0
9,0.01195866,-4.564391,-5.384561,0.10205991,0.16087571,785.98,1.9112,Gradual Build,5.0
10,-0.01130378,-4.622630,-5.506133,0.09913082,0.15583721,779.95,1.9858,Gradual Build,5.0
11,-0.14293094,-4.796311,-5.115821,0.09088542,0.17172703,689.16,-0.3187,Gradual Build,5.0
12,-0.11190570,-4.979740,-4.971007,0.08292076,0.18744597,843.16,0.3490,Gradual Build,5.0
13,0.00400597,-4.704823,-5.057008,0.09513946,0.18094945,510.64,1.8875,Gradual Build,5.0
14,0.26724172,-4.666202,-4.208485,0.09699452,0.23663084,625.31,-1.0840,Gradual Build,5.0
15,-0.10338074,-4.503857,-4.229446,0.10519615,0.21963789,904.04,0.6151,Gradual Build,5.0
16,0.06880877,-4.426855,-4.278635,0.10932531,0.19786374,921.22,0.9553,Gradual Build,5.0
17,-0.08162511,-4.460355,-4.345549,0.10750936,0.19879314,908.51,0.8260,Gradual Build,5.0
